
        alt         XM         FN        SFC         WF

        alt         XM         FN        SFC         WF
      15417    0.34583      11.94     14.069    0.16799
      15833    0.34583     11.177     14.075    0.15731
      16250    0.34583     10.463      14.08    0.14732
      16667    0.34583     9.7936     14.086    0.13795
      17083    0.34583     9.1671     14.093    0.12919
      17500    0.34583     8.5804     14.099    0.12098
      17917    0.34583      8.031     14.107    0.11329
      18333    0.34583     7.5165     14.114    0.10609
      18750    0.34583     7.0348     14.123   0.099349
      19167    0.34583     6.5836     14.131   0.093035
      19583    0.34583     6.1612     14.141   0.087123
      20000    0.34583     5.7656     14.151   0.081587
          0    0.36042     71.793     14.219     1.0208
     416.67    0.36042      70.78     13.947    0.98718
     833.33    0.36042      69.31     13.769    0.95432
       1250    0.36042     67.572     13.648    0.92222
     1666.7    0.36042     65.667     13.566    0.89087
     2083.3    0.36042     63.655     13.514    0.86026
       2500    0.36042     61.572     13.472    0.82949
     2916.7    0.36042     59.449     13.436    0.79873
     3333.3    0.36042     57.309     13.413    0.76866
       3750    0.36042     55.169       13.4    0.73928
     4166.7    0.36042     53.053     13.394     0.7106
     4583.3    0.36042     50.956     13.396    0.68263
       5000    0.36042     48.885     13.406    0.65535
     5416.7    0.36042     46.843     13.423    0.62877
     5833.3    0.36042     44.836     13.446    0.60288
       6250    0.36042     42.869     13.476    0.57769
     6666.7    0.36042     40.946      13.51    0.55318
     7083.3    0.36042     39.068     13.551    0.52939
       7500    0.36042     37.239     13.597    0.50634
     7916.7    0.36042     35.459     13.648    0.48396
     8333.3    0.36042     33.731     13.704    0.46224
       8750    0.36042     32.055     13.763    0.44118
     9166.7    0.36042     30.433     13.826    0.42077
     9583.3    0.36042     28.866     13.892    0.40102
      10000    0.36042     27.352     13.962     0.3819
      10417    0.36042     25.893     14.035    0.36341
      10833    0.36042     24.487     14.111    0.34554
      11250    0.36042     23.013     14.144    0.32548
      11667    0.36042     21.545     14.146    0.30479
      12083    0.36042     20.172     14.149    0.28542
      12500    0.36042     18.885     14.152    0.26727
      12917    0.36042     17.681     14.156    0.25028
      13333    0.36042     16.553     14.159    0.23437
      13750    0.36042     15.496     14.163    0.21947
      14167    0.36042     14.507     14.167    0.20552
      14583    0.36042     13.581     14.172    0.19246
      15000    0.36042     12.714     14.176    0.18023
      15417    0.36042     11.901     14.181    0.16878
      15833    0.36042     11.141     14.187    0.15805
      16250    0.36042     10.429     14.193    0.14801
      16667    0.36042     9.7618     14.199     0.1386
      17083    0.36042     9.1373     14.205     0.1298
      17500    0.36042     8.5525     14.212    0.12155
      17917    0.36042     8.0049     14.219    0.11382
      18333    0.36042     7.4921     14.227    0.10659
      18750    0.36042     7.0118     14.235   0.099816
      19167    0.36042     6.5622     14.244   0.093473
      19583    0.36042     6.1411     14.254   0.087533
      20000    0.36042     5.7467     14.264   0.081971
          0      0.375     70.992     14.433     1.0246
     416.67      0.375     70.094     14.136    0.99088
     833.33      0.375     68.702     13.943     0.9579
       1250      0.375     67.026     13.811    0.92569
     1666.7      0.375     65.172     13.721    0.89423
     2083.3      0.375     63.205     13.662    0.86351
       2500      0.375     61.163     13.619    0.83297
     2916.7      0.375     59.073     13.578    0.80211
     3333.3      0.375     56.965     13.551    0.77195
       3750      0.375     54.853     13.536    0.74248
     4166.7      0.375     52.762     13.527     0.7137
     4583.3      0.375     50.689     13.526    0.68563
       5000      0.375     48.638     13.534    0.65826
     5416.7      0.375     46.616     13.548    0.63158
     5833.3      0.375     44.628      13.57     0.6056
       6250      0.375     42.678     13.597    0.58031
     6666.7      0.375      40.77     13.631    0.55572
     7083.3      0.375     38.907     13.669    0.53182
       7500      0.375     37.091     13.715    0.50868
     7916.7      0.375     35.324     13.765    0.48621
